"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","Firefox Version","Default Browser","Search Engine","Sync Setup","Shield ID","Branch","Why did you uninstall the Firefox Private Network?","Other:Why did you uninstall the Firefox Private Network?","What sort of problems did you have with Firefox Private Network?","Other:What sort of problems did you have with Firefox Private Network?"
"1169","Oct 23, 2019 5:33:40 pm","Oct 23, 2019 5:33:57 pm","Complete","","","English","","1571877220_5db0f1645701c9.15404188","","","","","","","","","Other","Not free","",""
"1170","Oct 23, 2019 6:49:05 pm","Oct 23, 2019 6:50:12 pm","Complete","","","English","","1571881745_5db103119abde8.30025307","","","","","","","","","I no longer wanted it","","",""
"1171","Oct 24, 2019 5:37:01 am","Oct 24, 2019 5:38:18 am","Complete","","","English","","1571920621_5db19aed3f31c9.82470832","","","","","","","","","Other","proxy setting did not allow access to several sites","",""
"1172","Oct 24, 2019 7:11:47 am","Oct 24, 2019 7:12:15 am","Complete","","","English","","1571926307_5db1b123251e57.36426700","","","","","","","","","I no longer wanted it","","",""
"1173","Oct 24, 2019 7:34:00 am","Oct 24, 2019 7:34:09 am","Complete","","","English","","1571927640_5db1b6585a7991.77111580","","","","","","","","","I no longer wanted it","","",""
"1174","Oct 24, 2019 9:39:12 am","Oct 24, 2019 9:40:14 am","Complete","","","English","","1571935152_5db1d3b0a90623.04471302","","","","","","","","","Other","Slow..but love the work! Hope we can get it better!!","",""
"1175","Oct 24, 2019 9:47:51 am","Oct 24, 2019 9:48:01 am","Complete","","","English","","1571935670_5db1d5b6ee9cb8.68248228","","","","","","","","","I no longer wanted it","","",""
"1176","Oct 24, 2019 10:39:44 am","Oct 24, 2019 10:40:22 am","Complete","","","English","","1571938784_5db1e1e0b76726.16688141","","","","","","","","","I no longer wanted it","","",""
"1177","Oct 24, 2019 12:08:07 pm","Oct 24, 2019 12:08:15 pm","Complete","","","English","","1571944087_5db1f6971f07c6.53551505","","","","","","","","","I no longer wanted it","","",""
"1178","Oct 24, 2019 12:47:04 pm","Oct 24, 2019 12:47:17 pm","Complete","","","English","","1571946424_5db1ffb803f2b0.47609906","","","","","","","","","It was not working correctly","","It slowed my network speeds",""
"1179","Oct 24, 2019 2:30:20 pm","Oct 24, 2019 2:30:46 pm","Complete","","","English","","1571952620_5db217ec67efb0.25321714","","","","","","","","","It was not working correctly","","Other","Does not work"
"1180","Oct 24, 2019 2:28:27 pm","Oct 24, 2019 2:31:55 pm","Complete","","","English","","1571952507_5db2177b3880e7.13400889","","","","","","","","","It was not working correctly","","Other","incomprehensible error message when opening firefox "
"1181","Oct 24, 2019 2:40:50 pm","Oct 24, 2019 2:41:14 pm","Complete","","","English","","1571953250_5db21a6247b6c0.36678536","","","","","","","","","It was not working correctly","","Other","the server proxy is refusing connections"
"1182","Oct 24, 2019 7:19:12 pm","Oct 24, 2019 7:19:23 pm","Complete","","","English","","1571969952_5db25ba04f19a7.62282656","","","","","","","","","I'm going to re-install","","",""
"1183","Oct 24, 2019 8:39:02 pm","Oct 24, 2019 8:39:47 pm","Complete","","","English","","1571974742_5db26e56a8aab9.00839216","","","","","","","","","Other","It seems it's going to become paid and where it goes through the closest CloudFlare POP it's not worth paying for.","",""
"1184","Oct 24, 2019 8:20:19 pm","Oct 24, 2019 9:15:13 pm","Complete","","","English","","1571973619_5db269f387f6e8.72627283","","","","","","","","","Other","It sucks and isn't going to be free. Make it free.","",""
